[2025-03-27 20:57:45] Epoch 1/100 | Train Loss: 18.9626 | Val Loss: 0.9255 | ROC AUC: 0.870 | PR AUC: 0.679 | MCC: 0.422
[2025-03-27 20:57:46] Epoch 2/100 | Train Loss: 4.5301 | Val Loss: 0.7140 | ROC AUC: 0.899 | PR AUC: 0.702 | MCC: 0.547
[2025-03-27 20:57:47] Epoch 3/100 | Train Loss: 3.0672 | Val Loss: 0.5864 | ROC AUC: 0.918 | PR AUC: 0.738 | MCC: 0.559
[2025-03-27 20:57:48] Epoch 4/100 | Train Loss: 2.0319 | Val Loss: 0.5846 | ROC AUC: 0.927 | PR AUC: 0.755 | MCC: 0.596
[2025-03-27 20:57:49] Epoch 5/100 | Train Loss: 1.7387 | Val Loss: 0.5583 | ROC AUC: 0.933 | PR AUC: 0.765 | MCC: 0.634
[2025-03-27 20:57:50] Epoch 6/100 | Train Loss: 1.3316 | Val Loss: 0.5778 | ROC AUC: 0.935 | PR AUC: 0.770 | MCC: 0.625
[2025-03-27 20:57:51] Epoch 7/100 | Train Loss: 0.8919 | Val Loss: 0.5371 | ROC AUC: 0.940 | PR AUC: 0.779 | MCC: 0.644
[2025-03-27 20:57:52] Epoch 8/100 | Train Loss: 0.7753 | Val Loss: 0.5742 | ROC AUC: 0.939 | PR AUC: 0.777 | MCC: 0.643
[2025-03-27 20:57:53] Epoch 9/100 | Train Loss: 0.6201 | Val Loss: 0.5472 | ROC AUC: 0.938 | PR AUC: 0.778 | MCC: 0.637
[2025-03-27 20:57:54] Epoch 10/100 | Train Loss: 0.4983 | Val Loss: 0.5491 | ROC AUC: 0.939 | PR AUC: 0.786 | MCC: 0.618
[2025-03-27 20:57:55] Epoch 11/100 | Train Loss: 0.4391 | Val Loss: 0.5445 | ROC AUC: 0.940 | PR AUC: 0.789 | MCC: 0.664
[2025-03-27 20:57:56] Epoch 12/100 | Train Loss: 0.3523 | Val Loss: 0.5376 | ROC AUC: 0.941 | PR AUC: 0.792 | MCC: 0.664
[2025-03-27 20:57:57] Epoch 13/100 | Train Loss: 0.2996 | Val Loss: 0.5399 | ROC AUC: 0.943 | PR AUC: 0.799 | MCC: 0.664
[2025-03-27 20:57:58] Epoch 14/100 | Train Loss: 0.2526 | Val Loss: 0.5368 | ROC AUC: 0.943 | PR AUC: 0.798 | MCC: 0.676
