[2025-03-28 03:59:05] Epoch 1/20 | Train Loss: 20.5134 | Val Loss: 0.8501 | ROC AUC: 0.974 | PR AUC: 0.960 | MCC: 0.797
[2025-03-28 03:59:06] Epoch 2/20 | Train Loss: 5.4590 | Val Loss: 0.6211 | ROC AUC: 0.985 | PR AUC: 0.975 | MCC: 0.879
[2025-03-28 03:59:07] Epoch 3/20 | Train Loss: 3.6646 | Val Loss: 0.5427 | ROC AUC: 0.991 | PR AUC: 0.984 | MCC: 0.886
[2025-03-28 03:59:09] Epoch 4/20 | Train Loss: 2.4758 | Val Loss: 0.4624 | ROC AUC: 0.991 | PR AUC: 0.985 | MCC: 0.887
[2025-03-28 03:59:10] Epoch 5/20 | Train Loss: 2.0395 | Val Loss: 0.4169 | ROC AUC: 0.992 | PR AUC: 0.987 | MCC: 0.905
[2025-03-28 03:59:11] Epoch 6/20 | Train Loss: 1.3859 | Val Loss: 0.4382 | ROC AUC: 0.992 | PR AUC: 0.987 | MCC: 0.896
[2025-03-28 03:59:12] Epoch 7/20 | Train Loss: 0.9719 | Val Loss: 0.5684 | ROC AUC: 0.993 | PR AUC: 0.989 | MCC: 0.867
[2025-03-28 03:59:13] Epoch 8/20 | Train Loss: 0.8115 | Val Loss: 0.7107 | ROC AUC: 0.994 | PR AUC: 0.989 | MCC: 0.860
[2025-03-28 03:59:15] Epoch 9/20 | Train Loss: 0.6111 | Val Loss: 0.4393 | ROC AUC: 0.995 | PR AUC: 0.992 | MCC: 0.875
[2025-03-28 03:59:16] Epoch 10/20 | Train Loss: 0.3834 | Val Loss: 0.3560 | ROC AUC: 0.996 | PR AUC: 0.992 | MCC: 0.913
[2025-03-28 03:59:17] Epoch 11/20 | Train Loss: 0.3187 | Val Loss: 0.3481 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.913
[2025-03-28 03:59:19] Epoch 12/20 | Train Loss: 0.2459 | Val Loss: 0.5098 | ROC AUC: 0.995 | PR AUC: 0.992 | MCC: 0.880
[2025-03-28 03:59:20] Epoch 13/20 | Train Loss: 0.2384 | Val Loss: 0.4436 | ROC AUC: 0.996 | PR AUC: 0.994 | MCC: 0.889
[2025-03-28 03:59:21] Epoch 14/20 | Train Loss: 0.1711 | Val Loss: 0.4010 | ROC AUC: 0.996 | PR AUC: 0.994 | MCC: 0.901
[2025-03-28 03:59:22] Epoch 15/20 | Train Loss: 0.1474 | Val Loss: 0.3715 | ROC AUC: 0.996 | PR AUC: 0.994 | MCC: 0.905
[2025-03-28 03:59:24] Epoch 16/20 | Train Loss: 0.1173 | Val Loss: 0.5406 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.885
[2025-03-28 03:59:25] Epoch 17/20 | Train Loss: 0.1344 | Val Loss: 0.4801 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.876
[2025-03-28 03:59:26] Epoch 18/20 | Train Loss: 0.1003 | Val Loss: 0.4217 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.888
[2025-03-28 03:59:27] Epoch 19/20 | Train Loss: 0.0859 | Val Loss: 0.4736 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.885
[2025-03-28 03:59:29] Epoch 20/20 | Train Loss: 0.0771 | Val Loss: 0.4864 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.875
