[2025-03-27 20:56:44] Epoch 1/10 | Train Loss: 16.5724 | Val Loss: 0.8612 | ROC AUC: 0.856 | PR AUC: 0.601 | MCC: 0.458
[2025-03-27 20:56:45] Epoch 2/10 | Train Loss: 4.8802 | Val Loss: 0.8168 | ROC AUC: 0.887 | PR AUC: 0.659 | MCC: 0.538
[2025-03-27 20:56:46] Epoch 3/10 | Train Loss: 3.1909 | Val Loss: 0.6236 | ROC AUC: 0.906 | PR AUC: 0.711 | MCC: 0.486
[2025-03-27 20:56:47] Epoch 4/10 | Train Loss: 2.3980 | Val Loss: 0.5826 | ROC AUC: 0.918 | PR AUC: 0.729 | MCC: 0.548
[2025-03-27 20:56:48] Epoch 5/10 | Train Loss: 1.7384 | Val Loss: 0.5526 | ROC AUC: 0.929 | PR AUC: 0.770 | MCC: 0.611
[2025-03-27 20:56:49] Epoch 6/10 | Train Loss: 1.5431 | Val Loss: 0.6312 | ROC AUC: 0.930 | PR AUC: 0.770 | MCC: 0.555
[2025-03-27 20:56:50] Epoch 7/10 | Train Loss: 1.0339 | Val Loss: 0.5981 | ROC AUC: 0.931 | PR AUC: 0.774 | MCC: 0.569
[2025-03-27 20:56:52] Epoch 8/10 | Train Loss: 0.7669 | Val Loss: 0.5727 | ROC AUC: 0.932 | PR AUC: 0.774 | MCC: 0.596
[2025-03-27 20:56:53] Epoch 9/10 | Train Loss: 0.6394 | Val Loss: 0.5610 | ROC AUC: 0.932 | PR AUC: 0.776 | MCC: 0.659
[2025-03-27 20:56:54] Epoch 10/10 | Train Loss: 0.5751 | Val Loss: 0.5850 | ROC AUC: 0.932 | PR AUC: 0.776 | MCC: 0.627
