[2025-03-28 03:23:25] Epoch 1/20 | Train Loss: 32.5244 | Val Loss: 2.7129 | ROC AUC: 0.920 | PR AUC: 0.886 | MCC: 0.573
[2025-03-28 03:23:26] Epoch 2/20 | Train Loss: 22.6572 | Val Loss: 2.5778 | ROC AUC: 0.943 | PR AUC: 0.918 | MCC: 0.544
[2025-03-28 03:23:27] Epoch 3/20 | Train Loss: 19.0357 | Val Loss: 2.2213 | ROC AUC: 0.978 | PR AUC: 0.968 | MCC: 0.691
[2025-03-28 03:23:29] Epoch 4/20 | Train Loss: 15.9786 | Val Loss: 1.9846 | ROC AUC: 0.990 | PR AUC: 0.985 | MCC: 0.816
[2025-03-28 03:23:30] Epoch 5/20 | Train Loss: 14.0686 | Val Loss: 1.8438 | ROC AUC: 0.986 | PR AUC: 0.982 | MCC: 0.880
[2025-03-28 03:23:31] Epoch 6/20 | Train Loss: 13.2608 | Val Loss: 1.7987 | ROC AUC: 0.969 | PR AUC: 0.962 | MCC: 0.901
[2025-03-28 03:23:32] Epoch 7/20 | Train Loss: 12.5235 | Val Loss: 1.7080 | ROC AUC: 0.980 | PR AUC: 0.975 | MCC: 0.906
[2025-03-28 03:23:34] Epoch 8/20 | Train Loss: 11.7187 | Val Loss: 1.6565 | ROC AUC: 0.982 | PR AUC: 0.977 | MCC: 0.897
[2025-03-28 03:23:35] Epoch 9/20 | Train Loss: 11.2282 | Val Loss: 1.5928 | ROC AUC: 0.990 | PR AUC: 0.986 | MCC: 0.906
[2025-03-28 03:23:36] Epoch 10/20 | Train Loss: 10.6543 | Val Loss: 1.5481 | ROC AUC: 0.985 | PR AUC: 0.980 | MCC: 0.911
[2025-03-28 03:23:37] Epoch 11/20 | Train Loss: 10.2375 | Val Loss: 1.4989 | ROC AUC: 0.985 | PR AUC: 0.981 | MCC: 0.919
[2025-03-28 03:23:39] Epoch 12/20 | Train Loss: 10.0063 | Val Loss: 1.4750 | ROC AUC: 0.975 | PR AUC: 0.969 | MCC: 0.913
[2025-03-28 03:23:40] Epoch 13/20 | Train Loss: 9.5688 | Val Loss: 1.4345 | ROC AUC: 0.978 | PR AUC: 0.972 | MCC: 0.913
[2025-03-28 03:23:41] Epoch 14/20 | Train Loss: 9.4187 | Val Loss: 1.4244 | ROC AUC: 0.971 | PR AUC: 0.963 | MCC: 0.896
[2025-03-28 03:23:42] Epoch 15/20 | Train Loss: 8.9971 | Val Loss: 1.3251 | ROC AUC: 0.994 | PR AUC: 0.992 | MCC: 0.940
[2025-03-28 03:23:44] Epoch 16/20 | Train Loss: 8.5813 | Val Loss: 1.3303 | ROC AUC: 0.981 | PR AUC: 0.975 | MCC: 0.927
[2025-03-28 03:23:45] Epoch 17/20 | Train Loss: 8.1747 | Val Loss: 1.3003 | ROC AUC: 0.988 | PR AUC: 0.984 | MCC: 0.918
[2025-03-28 03:23:46] Epoch 18/20 | Train Loss: 8.1616 | Val Loss: 1.2773 | ROC AUC: 0.983 | PR AUC: 0.978 | MCC: 0.927
[2025-03-28 03:23:48] Epoch 19/20 | Train Loss: 7.9462 | Val Loss: 1.2348 | ROC AUC: 0.986 | PR AUC: 0.982 | MCC: 0.935
[2025-03-28 03:23:49] Epoch 20/20 | Train Loss: 7.5095 | Val Loss: 1.2221 | ROC AUC: 0.983 | PR AUC: 0.979 | MCC: 0.922
