[2025-03-28 03:11:22] Epoch 1/20 | Train Loss: 22.7416 | Val Loss: 1.2197 | ROC AUC: 0.944 | PR AUC: 0.921 | MCC: 0.706
[2025-03-28 03:11:24] Epoch 2/20 | Train Loss: 8.7933 | Val Loss: 0.8688 | ROC AUC: 0.979 | PR AUC: 0.967 | MCC: 0.800
[2025-03-28 03:11:25] Epoch 3/20 | Train Loss: 5.9988 | Val Loss: 0.7324 | ROC AUC: 0.981 | PR AUC: 0.968 | MCC: 0.835
[2025-03-28 03:11:26] Epoch 4/20 | Train Loss: 4.0843 | Val Loss: 0.6709 | ROC AUC: 0.984 | PR AUC: 0.972 | MCC: 0.854
[2025-03-28 03:11:28] Epoch 5/20 | Train Loss: 3.2296 | Val Loss: 0.6485 | ROC AUC: 0.985 | PR AUC: 0.975 | MCC: 0.849
[2025-03-28 03:11:29] Epoch 6/20 | Train Loss: 2.3315 | Val Loss: 0.6043 | ROC AUC: 0.989 | PR AUC: 0.982 | MCC: 0.854
[2025-03-28 03:11:30] Epoch 7/20 | Train Loss: 1.8419 | Val Loss: 0.5170 | ROC AUC: 0.990 | PR AUC: 0.982 | MCC: 0.870
[2025-03-28 03:11:32] Epoch 8/20 | Train Loss: 1.5075 | Val Loss: 0.5442 | ROC AUC: 0.990 | PR AUC: 0.983 | MCC: 0.862
[2025-03-28 03:11:33] Epoch 9/20 | Train Loss: 1.2854 | Val Loss: 0.4670 | ROC AUC: 0.991 | PR AUC: 0.985 | MCC: 0.883
[2025-03-28 03:11:34] Epoch 10/20 | Train Loss: 1.0557 | Val Loss: 0.6723 | ROC AUC: 0.992 | PR AUC: 0.986 | MCC: 0.842
[2025-03-28 03:11:35] Epoch 11/20 | Train Loss: 0.8749 | Val Loss: 0.4868 | ROC AUC: 0.991 | PR AUC: 0.985 | MCC: 0.883
[2025-03-28 03:11:37] Epoch 12/20 | Train Loss: 0.6129 | Val Loss: 0.5206 | ROC AUC: 0.992 | PR AUC: 0.987 | MCC: 0.862
[2025-03-28 03:11:38] Epoch 13/20 | Train Loss: 0.5533 | Val Loss: 0.7117 | ROC AUC: 0.993 | PR AUC: 0.988 | MCC: 0.848
[2025-03-28 03:11:39] Epoch 14/20 | Train Loss: 0.4538 | Val Loss: 0.4406 | ROC AUC: 0.993 | PR AUC: 0.988 | MCC: 0.879
[2025-03-28 03:11:41] Epoch 15/20 | Train Loss: 0.3769 | Val Loss: 0.6670 | ROC AUC: 0.993 | PR AUC: 0.989 | MCC: 0.859
[2025-03-28 03:11:42] Epoch 16/20 | Train Loss: 0.3634 | Val Loss: 0.5717 | ROC AUC: 0.995 | PR AUC: 0.991 | MCC: 0.859
[2025-03-28 03:11:44] Epoch 17/20 | Train Loss: 0.3133 | Val Loss: 0.5788 | ROC AUC: 0.993 | PR AUC: 0.988 | MCC: 0.867
[2025-03-28 03:11:45] Epoch 18/20 | Train Loss: 0.2599 | Val Loss: 0.5032 | ROC AUC: 0.994 | PR AUC: 0.989 | MCC: 0.879
[2025-03-28 03:11:46] Epoch 19/20 | Train Loss: 0.2246 | Val Loss: 0.4710 | ROC AUC: 0.995 | PR AUC: 0.991 | MCC: 0.888
[2025-03-28 03:11:48] Epoch 20/20 | Train Loss: 0.1725 | Val Loss: 0.4608 | ROC AUC: 0.994 | PR AUC: 0.990 | MCC: 0.892
