[2025-03-28 04:02:02] Epoch 1/20 | Train Loss: 15.1818 | Val Loss: 0.7598 | ROC AUC: 0.982 | PR AUC: 0.970 | MCC: 0.839
[2025-03-28 04:02:03] Epoch 2/20 | Train Loss: 5.2776 | Val Loss: 0.6042 | ROC AUC: 0.987 | PR AUC: 0.978 | MCC: 0.861
[2025-03-28 04:02:04] Epoch 3/20 | Train Loss: 3.6742 | Val Loss: 0.5208 | ROC AUC: 0.991 | PR AUC: 0.984 | MCC: 0.862
[2025-03-28 04:02:05] Epoch 4/20 | Train Loss: 2.4238 | Val Loss: 0.5249 | ROC AUC: 0.992 | PR AUC: 0.985 | MCC: 0.883
[2025-03-28 04:02:07] Epoch 5/20 | Train Loss: 2.2493 | Val Loss: 0.5475 | ROC AUC: 0.992 | PR AUC: 0.987 | MCC: 0.876
[2025-03-28 04:02:08] Epoch 6/20 | Train Loss: 1.6338 | Val Loss: 0.4145 | ROC AUC: 0.993 | PR AUC: 0.988 | MCC: 0.898
[2025-03-28 04:02:09] Epoch 7/20 | Train Loss: 1.3184 | Val Loss: 0.3367 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.913
[2025-03-28 04:02:11] Epoch 8/20 | Train Loss: 0.7593 | Val Loss: 0.3644 | ROC AUC: 0.996 | PR AUC: 0.994 | MCC: 0.897
[2025-03-28 04:02:12] Epoch 9/20 | Train Loss: 0.6589 | Val Loss: 0.3741 | ROC AUC: 0.997 | PR AUC: 0.995 | MCC: 0.906
[2025-03-28 04:02:13] Epoch 10/20 | Train Loss: 0.5650 | Val Loss: 0.4470 | ROC AUC: 0.996 | PR AUC: 0.994 | MCC: 0.885
[2025-03-28 04:02:14] Epoch 11/20 | Train Loss: 0.4002 | Val Loss: 0.3009 | ROC AUC: 0.996 | PR AUC: 0.994 | MCC: 0.922
[2025-03-28 04:02:16] Epoch 12/20 | Train Loss: 0.3053 | Val Loss: 0.3674 | ROC AUC: 0.997 | PR AUC: 0.995 | MCC: 0.888
[2025-03-28 04:02:17] Epoch 13/20 | Train Loss: 0.2708 | Val Loss: 0.4483 | ROC AUC: 0.997 | PR AUC: 0.995 | MCC: 0.885
[2025-03-28 04:02:18] Epoch 14/20 | Train Loss: 0.2444 | Val Loss: 0.4543 | ROC AUC: 0.997 | PR AUC: 0.994 | MCC: 0.885
[2025-03-28 04:02:19] Epoch 15/20 | Train Loss: 0.1715 | Val Loss: 0.3993 | ROC AUC: 0.997 | PR AUC: 0.995 | MCC: 0.898
[2025-03-28 04:02:21] Epoch 16/20 | Train Loss: 0.1627 | Val Loss: 0.3809 | ROC AUC: 0.997 | PR AUC: 0.994 | MCC: 0.897
[2025-03-28 04:02:22] Epoch 17/20 | Train Loss: 0.1203 | Val Loss: 0.3919 | ROC AUC: 0.996 | PR AUC: 0.994 | MCC: 0.905
[2025-03-28 04:02:23] Epoch 18/20 | Train Loss: 0.1096 | Val Loss: 0.3924 | ROC AUC: 0.997 | PR AUC: 0.994 | MCC: 0.905
[2025-03-28 04:02:25] Epoch 19/20 | Train Loss: 0.0959 | Val Loss: 0.3921 | ROC AUC: 0.997 | PR AUC: 0.995 | MCC: 0.905
[2025-03-28 04:02:26] Epoch 20/20 | Train Loss: 0.0910 | Val Loss: 0.3943 | ROC AUC: 0.997 | PR AUC: 0.995 | MCC: 0.901
