[2025-03-27 21:19:43] Epoch 1/20 | Train Loss: 102.7773 | Val Loss: 1.5514 | ROC AUC: 0.957 | PR AUC: 0.771 | MCC: 0.672
[2025-03-27 21:20:09] Epoch 2/20 | Train Loss: 44.6737 | Val Loss: 4.2816 | ROC AUC: 0.954 | PR AUC: 0.728 | MCC: 0.542
[2025-03-27 21:20:35] Epoch 3/20 | Train Loss: 29.8739 | Val Loss: 2.4945 | ROC AUC: 0.958 | PR AUC: 0.776 | MCC: 0.609
[2025-03-27 21:21:01] Epoch 4/20 | Train Loss: 25.8515 | Val Loss: 2.0758 | ROC AUC: 0.960 | PR AUC: 0.778 | MCC: 0.698
[2025-03-27 21:21:27] Epoch 5/20 | Train Loss: 16.7408 | Val Loss: 2.2167 | ROC AUC: 0.961 | PR AUC: 0.795 | MCC: 0.742
[2025-03-27 21:21:53] Epoch 6/20 | Train Loss: 13.3005 | Val Loss: 2.1734 | ROC AUC: 0.960 | PR AUC: 0.794 | MCC: 0.729
[2025-03-27 21:22:21] Epoch 7/20 | Train Loss: 8.9712 | Val Loss: 2.3222 | ROC AUC: 0.960 | PR AUC: 0.807 | MCC: 0.755
[2025-03-27 21:22:48] Epoch 8/20 | Train Loss: 10.4235 | Val Loss: 2.3236 | ROC AUC: 0.961 | PR AUC: 0.822 | MCC: 0.769
[2025-03-27 21:23:15] Epoch 9/20 | Train Loss: 6.4678 | Val Loss: 2.5766 | ROC AUC: 0.964 | PR AUC: 0.824 | MCC: 0.760
[2025-03-27 21:23:41] Epoch 10/20 | Train Loss: 3.9185 | Val Loss: 2.5770 | ROC AUC: 0.964 | PR AUC: 0.822 | MCC: 0.764
[2025-03-27 21:24:08] Epoch 11/20 | Train Loss: 6.1373 | Val Loss: 2.6728 | ROC AUC: 0.967 | PR AUC: 0.816 | MCC: 0.762
[2025-03-27 21:24:36] Epoch 12/20 | Train Loss: 1.7682 | Val Loss: 3.2582 | ROC AUC: 0.966 | PR AUC: 0.838 | MCC: 0.751
[2025-03-27 21:25:04] Epoch 13/20 | Train Loss: 6.5790 | Val Loss: 2.5301 | ROC AUC: 0.965 | PR AUC: 0.830 | MCC: 0.770
[2025-03-27 21:25:29] Epoch 14/20 | Train Loss: 1.7887 | Val Loss: 2.6154 | ROC AUC: 0.963 | PR AUC: 0.847 | MCC: 0.768
[2025-03-27 21:25:57] Epoch 15/20 | Train Loss: 4.7313 | Val Loss: 3.1773 | ROC AUC: 0.966 | PR AUC: 0.830 | MCC: 0.750
[2025-03-27 21:26:24] Epoch 16/20 | Train Loss: 1.8356 | Val Loss: 2.7836 | ROC AUC: 0.965 | PR AUC: 0.842 | MCC: 0.766
[2025-03-27 21:26:50] Epoch 17/20 | Train Loss: 3.7013 | Val Loss: 2.9593 | ROC AUC: 0.964 | PR AUC: 0.853 | MCC: 0.782
[2025-03-27 21:27:15] Epoch 18/20 | Train Loss: 1.4340 | Val Loss: 2.7829 | ROC AUC: 0.968 | PR AUC: 0.862 | MCC: 0.777
[2025-03-27 21:27:43] Epoch 19/20 | Train Loss: 4.1026 | Val Loss: 3.4702 | ROC AUC: 0.967 | PR AUC: 0.856 | MCC: 0.766
[2025-03-27 21:28:10] Epoch 20/20 | Train Loss: 1.9134 | Val Loss: 3.6293 | ROC AUC: 0.964 | PR AUC: 0.840 | MCC: 0.777
