[2025-03-28 03:21:35] Epoch 1/20 | Train Loss: 20.5206 | Val Loss: 0.8283 | ROC AUC: 0.976 | PR AUC: 0.963 | MCC: 0.806
[2025-03-28 03:21:35] Epoch 2/20 | Train Loss: 5.6955 | Val Loss: 0.6671 | ROC AUC: 0.983 | PR AUC: 0.971 | MCC: 0.820
[2025-03-28 03:21:35] Epoch 3/20 | Train Loss: 3.9181 | Val Loss: 0.5873 | ROC AUC: 0.988 | PR AUC: 0.978 | MCC: 0.860
[2025-03-28 03:21:35] Epoch 4/20 | Train Loss: 2.8398 | Val Loss: 0.5112 | ROC AUC: 0.989 | PR AUC: 0.981 | MCC: 0.876
[2025-03-28 03:21:35] Epoch 5/20 | Train Loss: 2.2676 | Val Loss: 0.4828 | ROC AUC: 0.991 | PR AUC: 0.986 | MCC: 0.887
[2025-03-28 03:21:35] Epoch 6/20 | Train Loss: 1.7580 | Val Loss: 0.4177 | ROC AUC: 0.993 | PR AUC: 0.988 | MCC: 0.905
[2025-03-28 03:21:35] Epoch 7/20 | Train Loss: 1.4399 | Val Loss: 0.4745 | ROC AUC: 0.991 | PR AUC: 0.986 | MCC: 0.874
[2025-03-28 03:21:35] Epoch 8/20 | Train Loss: 1.0847 | Val Loss: 0.3946 | ROC AUC: 0.993 | PR AUC: 0.989 | MCC: 0.909
[2025-03-28 03:21:35] Epoch 9/20 | Train Loss: 0.9061 | Val Loss: 0.5440 | ROC AUC: 0.994 | PR AUC: 0.990 | MCC: 0.868
[2025-03-28 03:21:35] Epoch 10/20 | Train Loss: 0.7446 | Val Loss: 0.3363 | ROC AUC: 0.995 | PR AUC: 0.992 | MCC: 0.918
[2025-03-28 03:21:35] Epoch 11/20 | Train Loss: 0.6316 | Val Loss: 0.3943 | ROC AUC: 0.995 | PR AUC: 0.992 | MCC: 0.905
[2025-03-28 03:21:35] Epoch 12/20 | Train Loss: 0.5556 | Val Loss: 0.3742 | ROC AUC: 0.995 | PR AUC: 0.992 | MCC: 0.896
[2025-03-28 03:21:36] Epoch 13/20 | Train Loss: 0.4193 | Val Loss: 0.3716 | ROC AUC: 0.996 | PR AUC: 0.992 | MCC: 0.909
[2025-03-28 03:21:36] Epoch 14/20 | Train Loss: 0.3554 | Val Loss: 0.4545 | ROC AUC: 0.995 | PR AUC: 0.992 | MCC: 0.884
[2025-03-28 03:21:36] Epoch 15/20 | Train Loss: 0.2746 | Val Loss: 0.3671 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.905
[2025-03-28 03:21:36] Epoch 16/20 | Train Loss: 0.2129 | Val Loss: 0.3812 | ROC AUC: 0.996 | PR AUC: 0.992 | MCC: 0.901
[2025-03-28 03:21:36] Epoch 17/20 | Train Loss: 0.2090 | Val Loss: 0.3628 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.905
[2025-03-28 03:21:36] Epoch 18/20 | Train Loss: 0.1735 | Val Loss: 0.4813 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.876
[2025-03-28 03:21:36] Epoch 19/20 | Train Loss: 0.1542 | Val Loss: 0.3375 | ROC AUC: 0.996 | PR AUC: 0.994 | MCC: 0.909
[2025-03-28 03:21:36] Epoch 20/20 | Train Loss: 0.1334 | Val Loss: 0.3507 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.909
