[2025-03-28 03:07:33] Epoch 1/20 | Train Loss: 24.2883 | Val Loss: 1.0949 | ROC AUC: 0.957 | PR AUC: 0.941 | MCC: 0.723
[2025-03-28 03:07:33] Epoch 2/20 | Train Loss: 7.8130 | Val Loss: 0.7512 | ROC AUC: 0.984 | PR AUC: 0.976 | MCC: 0.827
[2025-03-28 03:07:33] Epoch 3/20 | Train Loss: 5.3954 | Val Loss: 0.6224 | ROC AUC: 0.987 | PR AUC: 0.978 | MCC: 0.874
[2025-03-28 03:07:33] Epoch 4/20 | Train Loss: 3.9905 | Val Loss: 0.6515 | ROC AUC: 0.988 | PR AUC: 0.980 | MCC: 0.863
[2025-03-28 03:07:33] Epoch 5/20 | Train Loss: 2.9787 | Val Loss: 0.5790 | ROC AUC: 0.990 | PR AUC: 0.985 | MCC: 0.871
[2025-03-28 03:07:33] Epoch 6/20 | Train Loss: 2.5416 | Val Loss: 0.5110 | ROC AUC: 0.991 | PR AUC: 0.986 | MCC: 0.888
[2025-03-28 03:07:33] Epoch 7/20 | Train Loss: 1.9526 | Val Loss: 0.4398 | ROC AUC: 0.993 | PR AUC: 0.989 | MCC: 0.892
[2025-03-28 03:07:33] Epoch 8/20 | Train Loss: 1.5559 | Val Loss: 0.5669 | ROC AUC: 0.995 | PR AUC: 0.992 | MCC: 0.864
[2025-03-28 03:07:33] Epoch 9/20 | Train Loss: 1.1089 | Val Loss: 0.3626 | ROC AUC: 0.995 | PR AUC: 0.992 | MCC: 0.909
[2025-03-28 03:07:33] Epoch 10/20 | Train Loss: 0.9362 | Val Loss: 0.4117 | ROC AUC: 0.996 | PR AUC: 0.992 | MCC: 0.897
[2025-03-28 03:07:33] Epoch 11/20 | Train Loss: 0.7389 | Val Loss: 0.3898 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.901
[2025-03-28 03:07:33] Epoch 12/20 | Train Loss: 0.7317 | Val Loss: 0.7359 | ROC AUC: 0.994 | PR AUC: 0.990 | MCC: 0.856
[2025-03-28 03:07:33] Epoch 13/20 | Train Loss: 0.6166 | Val Loss: 0.4371 | ROC AUC: 0.995 | PR AUC: 0.992 | MCC: 0.897
[2025-03-28 03:07:33] Epoch 14/20 | Train Loss: 0.4877 | Val Loss: 0.3568 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.914
[2025-03-28 03:07:34] Epoch 15/20 | Train Loss: 0.4173 | Val Loss: 0.5690 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.877
[2025-03-28 03:07:34] Epoch 16/20 | Train Loss: 0.2761 | Val Loss: 0.5103 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.881
[2025-03-28 03:07:34] Epoch 17/20 | Train Loss: 0.2258 | Val Loss: 0.4617 | ROC AUC: 0.996 | PR AUC: 0.993 | MCC: 0.889
[2025-03-28 03:07:34] Epoch 18/20 | Train Loss: 0.2090 | Val Loss: 0.5313 | ROC AUC: 0.996 | PR AUC: 0.994 | MCC: 0.881
[2025-03-28 03:07:34] Epoch 19/20 | Train Loss: 0.1821 | Val Loss: 0.4461 | ROC AUC: 0.996 | PR AUC: 0.994 | MCC: 0.898
[2025-03-28 03:07:34] Epoch 20/20 | Train Loss: 0.1524 | Val Loss: 0.5209 | ROC AUC: 0.996 | PR AUC: 0.994 | MCC: 0.885
