[2025-03-28 03:19:35] Epoch 1/20 | Train Loss: 27.1248 | Val Loss: 1.3079 | ROC AUC: 0.942 | PR AUC: 0.918 | MCC: 0.645
[2025-03-28 03:19:35] Epoch 2/20 | Train Loss: 9.2506 | Val Loss: 0.8594 | ROC AUC: 0.979 | PR AUC: 0.968 | MCC: 0.808
[2025-03-28 03:19:35] Epoch 3/20 | Train Loss: 6.3892 | Val Loss: 0.6517 | ROC AUC: 0.986 | PR AUC: 0.977 | MCC: 0.844
[2025-03-28 03:19:35] Epoch 4/20 | Train Loss: 4.5489 | Val Loss: 0.6697 | ROC AUC: 0.984 | PR AUC: 0.975 | MCC: 0.844
[2025-03-28 03:19:35] Epoch 5/20 | Train Loss: 3.2052 | Val Loss: 0.5516 | ROC AUC: 0.990 | PR AUC: 0.983 | MCC: 0.870
[2025-03-28 03:19:35] Epoch 6/20 | Train Loss: 2.7390 | Val Loss: 0.5154 | ROC AUC: 0.990 | PR AUC: 0.983 | MCC: 0.874
[2025-03-28 03:19:35] Epoch 7/20 | Train Loss: 2.0935 | Val Loss: 0.5168 | ROC AUC: 0.991 | PR AUC: 0.984 | MCC: 0.888
[2025-03-28 03:19:35] Epoch 8/20 | Train Loss: 1.6192 | Val Loss: 0.4951 | ROC AUC: 0.993 | PR AUC: 0.988 | MCC: 0.888
[2025-03-28 03:19:35] Epoch 9/20 | Train Loss: 1.3480 | Val Loss: 0.7039 | ROC AUC: 0.993 | PR AUC: 0.988 | MCC: 0.847
[2025-03-28 03:19:35] Epoch 10/20 | Train Loss: 1.0632 | Val Loss: 0.4551 | ROC AUC: 0.993 | PR AUC: 0.988 | MCC: 0.901
[2025-03-28 03:19:35] Epoch 11/20 | Train Loss: 0.8766 | Val Loss: 0.4328 | ROC AUC: 0.993 | PR AUC: 0.988 | MCC: 0.905
[2025-03-28 03:19:36] Epoch 12/20 | Train Loss: 0.7292 | Val Loss: 0.5594 | ROC AUC: 0.993 | PR AUC: 0.988 | MCC: 0.858
[2025-03-28 03:19:36] Epoch 13/20 | Train Loss: 0.6185 | Val Loss: 0.5624 | ROC AUC: 0.993 | PR AUC: 0.989 | MCC: 0.858
[2025-03-28 03:19:36] Epoch 14/20 | Train Loss: 0.5635 | Val Loss: 0.3917 | ROC AUC: 0.994 | PR AUC: 0.990 | MCC: 0.913
[2025-03-28 03:19:36] Epoch 15/20 | Train Loss: 0.4689 | Val Loss: 0.4591 | ROC AUC: 0.994 | PR AUC: 0.990 | MCC: 0.896
[2025-03-28 03:19:36] Epoch 16/20 | Train Loss: 0.3307 | Val Loss: 0.4191 | ROC AUC: 0.994 | PR AUC: 0.989 | MCC: 0.909
[2025-03-28 03:19:36] Epoch 17/20 | Train Loss: 0.3553 | Val Loss: 0.5332 | ROC AUC: 0.995 | PR AUC: 0.991 | MCC: 0.867
[2025-03-28 03:19:36] Epoch 18/20 | Train Loss: 0.3387 | Val Loss: 0.3697 | ROC AUC: 0.995 | PR AUC: 0.992 | MCC: 0.913
[2025-03-28 03:19:36] Epoch 19/20 | Train Loss: 0.2710 | Val Loss: 0.5121 | ROC AUC: 0.995 | PR AUC: 0.992 | MCC: 0.876
[2025-03-28 03:19:36] Epoch 20/20 | Train Loss: 0.2019 | Val Loss: 0.4758 | ROC AUC: 0.995 | PR AUC: 0.992 | MCC: 0.879
