[2025-03-26 16:07:45] Epoch 1/100 | Train Loss: 174.2649 | Val Loss: 25.2030 | ROC AUC: 0.971 | PR AUC: 0.843 | MCC: 0.000
[2025-03-26 16:08:37] Epoch 2/100 | Train Loss: 146.3453 | Val Loss: 34.4926 | ROC AUC: 0.985 | PR AUC: 0.875 | MCC: 0.503
[2025-03-26 16:09:27] Epoch 3/100 | Train Loss: 133.5176 | Val Loss: 11.2219 | ROC AUC: 0.972 | PR AUC: 0.847 | MCC: 0.000
[2025-03-26 16:10:17] Epoch 4/100 | Train Loss: 122.1336 | Val Loss: 13.9827 | ROC AUC: 0.981 | PR AUC: 0.871 | MCC: 0.693
[2025-03-26 16:11:09] Epoch 5/100 | Train Loss: 107.1374 | Val Loss: 14.7150 | ROC AUC: 0.983 | PR AUC: 0.875 | MCC: 0.787
[2025-03-26 16:12:00] Epoch 6/100 | Train Loss: 100.8182 | Val Loss: 16.4474 | ROC AUC: 0.985 | PR AUC: 0.876 | MCC: 0.683
[2025-03-26 16:12:51] Epoch 7/100 | Train Loss: 94.1386 | Val Loss: 9.9127 | ROC AUC: 0.983 | PR AUC: 0.874 | MCC: 0.801
[2025-03-26 16:13:41] Epoch 8/100 | Train Loss: 90.8353 | Val Loss: 8.0681 | ROC AUC: 0.982 | PR AUC: 0.873 | MCC: 0.769
[2025-03-26 16:14:30] Epoch 9/100 | Train Loss: 83.8271 | Val Loss: 10.2066 | ROC AUC: 0.984 | PR AUC: 0.876 | MCC: 0.763
[2025-03-26 16:15:21] Epoch 10/100 | Train Loss: 79.9729 | Val Loss: 8.2717 | ROC AUC: 0.983 | PR AUC: 0.875 | MCC: 0.770
[2025-03-26 16:16:16] Epoch 11/100 | Train Loss: 78.0933 | Val Loss: 13.5402 | ROC AUC: 0.985 | PR AUC: 0.876 | MCC: 0.631
[2025-03-26 16:17:11] Epoch 12/100 | Train Loss: 77.5445 | Val Loss: 13.6695 | ROC AUC: 0.985 | PR AUC: 0.876 | MCC: 0.618
[2025-03-26 16:18:01] Epoch 13/100 | Train Loss: 74.0119 | Val Loss: 9.3643 | ROC AUC: 0.984 | PR AUC: 0.876 | MCC: 0.727
[2025-03-26 16:18:51] Epoch 14/100 | Train Loss: 76.2490 | Val Loss: 6.7596 | ROC AUC: 0.982 | PR AUC: 0.874 | MCC: 0.782
[2025-03-26 16:19:40] Epoch 15/100 | Train Loss: 70.7090 | Val Loss: 9.1348 | ROC AUC: 0.984 | PR AUC: 0.875 | MCC: 0.715
[2025-03-26 16:20:31] Epoch 16/100 | Train Loss: 73.2668 | Val Loss: 6.4510 | ROC AUC: 0.982 | PR AUC: 0.873 | MCC: 0.776
[2025-03-26 16:21:25] Epoch 17/100 | Train Loss: 71.9135 | Val Loss: 6.3485 | ROC AUC: 0.982 | PR AUC: 0.873 | MCC: 0.777
[2025-03-26 16:22:13] Epoch 18/100 | Train Loss: 70.3586 | Val Loss: 15.3687 | ROC AUC: 0.984 | PR AUC: 0.876 | MCC: 0.568
[2025-03-26 16:23:06] Epoch 19/100 | Train Loss: 70.2858 | Val Loss: 9.1996 | ROC AUC: 0.983 | PR AUC: 0.875 | MCC: 0.688
[2025-03-26 16:23:56] Epoch 20/100 | Train Loss: 68.8698 | Val Loss: 5.5389 | ROC AUC: 0.981 | PR AUC: 0.870 | MCC: 0.805
[2025-03-26 17:21:18] Epoch 1/5 | Train Loss: 24.5174 | Val Loss: 1.4115 | ROC AUC: 0.857 | PR AUC: 0.516 | MCC: 0.000
[2025-03-26 17:21:20] Epoch 2/5 | Train Loss: 9.7876 | Val Loss: 0.8675 | ROC AUC: 0.883 | PR AUC: 0.626 | MCC: 0.494
